music_alias,music_name,music_rating,music_singer,music_tags,music_time,music_url,music_votes
,夕陽を見ているか?(初回生産限定盤Type A)(DVD付),8.8,AKB48,AKB48|日本|J-Pop|Jpop|48系|J-pop|2007|日本音乐,2007-10-31,https://music.douban.com/subject/2255989/,184
,涙サプライズ!【劇場盤】,8.5,AKB48,AKB48|日本|J-POP|JPOP|2009|J-Pop|J-pop|女声,2009-06-24,https://music.douban.com/subject/6018807/,210
,夕陽を見ているか?(初回生産限定盤Type B),8.7,AKB48,AKB48|日本|J-POP|J-Pop|Jpop|2007|励志|J-pop,2007-10-31,https://music.douban.com/subject/3126953/,205
,10年桜【劇場盤】,8.9,AKB48,AKB48|日本|J-POP|JPOP|J-Pop|J-pop|2009|日本音乐,2009-03-04,https://music.douban.com/subject/6383111/,254
,大声ダイヤモンド【劇場盤】,8.7,AKB48,AKB48|日本|j-pop|Jpop|J-Pop|2008|松井珠理奈|JPOP,2008-10-22,https://music.douban.com/subject/4271211/,250
,Living Things,8.4,林肯公园 Linkin Park,LinkinPark|Rock|2012|金属|美国|摇滚|男歌手,2012-06-26,https://music.douban.com/subject/22992638/,113
,Live In Texas,9.5,Linkin Park,LinkinPark|杂,,https://music.douban.com/subject/3630769/,16
,Bleed It Out,9.1,Linkin Park,LinkinPark|Rock|2007|Single/EP|E-Pop|欧美|林肯公园|Single,2007-09-10,https://music.douban.com/subject/4196272/,106
,Somewhere I Belong,9.2,Linkin Park,2003|美国|pop|metal|Park|Linkin|欧美|wierdometal,2003-12-02,https://music.douban.com/subject/4923728/,19
,Meteora (Special Edition: Enhanced CD & Dvd),9.5,Linkin Park,LinkinPark|post-grunge|nu-metal|alternative-metal|US|Rock|2003|手に入れた,2003-03-25,https://music.douban.com/subject/5316090/,32
,Shadow of the Day,9.8,Linkin Park,LinkinPark|欧美|linkinpark|2007|2000s,2007-12-11,https://music.douban.com/subject/3398626/,58
,A Thousand Suns,7.7,Linkin Park,LinkinPark|欧美|Rock|美国|2010|林肯公园|Pop|英语,2010-09-14,https://music.douban.com/subject/5282295/,134
,Hybrid Theory,8.9,Linkin Park,LinkinPark|2000|金属|美国|nu-metal|alternative-metal|Rock|post-grunge,2000-10-24,https://music.douban.com/subject/20274460/,55
Nuit de Cellophane,八月夜桂花,8.8,还潮,还潮|民谣|中国|Indie-Folk|Indie|Folk|2019|吴语,2019-12-04,https://music.douban.com/subject/34931203/,164
,亲爱的黑色,9.5,HOCC,香港|粤语|Hocc|何韵诗|HOCC|HK|2016,2016-08-16,https://music.douban.com/subject/35129622/,64
,为艺术牺牲,8.1,粉红A,香港|粉红A|2019|Indie-Pop|粵語|独立音乐|Indie|港乐,2019-11-18,https://music.douban.com/subject/34893061/,373
,独家村,9.8,谢安琪 Kay Tse,香港|谢安琪|粤语|林夕|2014|单曲|流行|港乐,2014-09-23,https://music.douban.com/subject/35098192/,211
,是有种人,9.6,HOCC,香港|何韵诗|粤语|Hocc|2015|林夕|周国贤|音乐,2015-07-29,https://music.douban.com/subject/35117747/,125
,After Collision,8.5,林肯公园 Linkin Park|艾米纳姆 Eminem,Rock|Hip-Hop|Alternative|美国|LinkinPark|Eminem,2013-04-09,https://music.douban.com/subject/24750717/,26
,Mirrors (Radio Edit) – Single,8.3,Justin Timberlake,JustinTimberlake|欧美|Single|R&B|2013,2013-03-13,https://music.douban.com/subject/22241185/,22
Linkin Park-Blackbirds,Blackbirds,8.9,Linkin Park,LinkinPark|Rock|2010|Nu-Metal|Alternative|美国|摇滚|LP,2010-05-01,https://music.douban.com/subject/4859224/,253
,No Line on the Horizon (Bonus Track),8.8,U2,U2|欧美|Vincent|2009|爱尔兰,2009-03-03,https://music.douban.com/subject/3604210/,10
,,,,,,,
,Hybrid Theory Live Around the World,8.6,Linkin Park,Live|LinkinPark|2012|Alternative|Nu-Metal|美国|linkin-park|欧美,2012-05-31,https://music.douban.com/subject/11613252/,31
,水之湄,9.0,惘闻,Post-Rock|惘闻|后摇|中国|后摇滚|2018|单曲|大陆,2018-06-27,https://music.douban.com/subject/30260561/,594
A Date with Sake,清酒之约,8.4,冯颖琪 Vicky Fung,粤语|2020|香港|馮穎琪|Single|HK|港乐|女声,2020-06-24,https://music.douban.com/subject/35116437/,39
"Blanc, Le Soleil, Le Pistolet",白色太陽槍,8.2,The Lee's,香港|TheLee's|Indie|粤语|维港唱片|2012|独立音乐|indie,2012-11-23,https://music.douban.com/subject/20445348/,1411
,水疗,8.1,邓小巧,邓小巧|2017|香港|国语|Single|港乐|流行|女声,2017-05-04,https://music.douban.com/subject/27037315/,39
,若只如初見,7.8,林聰,2019|香港|粤语|林聰|林聪|goomusic|Single|HK,2019-9-23,https://music.douban.com/subject/34914207/,13
1st Mini Album,SQUARE UP,7.1,BLACKPINK,blackpink|韩国|BLACKPINK|2018|韩语|K-Pop|电子|Pop,2018-06-15,https://music.douban.com/subject/30240819/,6482
1st Single Album,SOLO,7.0,JENNIE,JennieKim|女solo|韩国|韩语|KPOP|2018|K-POP|流行,2018-11-12,https://music.douban.com/subject/30374601/,6825
,1989 (13 Tracks/International Standard Jewel Case),9.0,Taylor Swift,TaylorSwift|欧美|美国|2014|Pop|西餐|2010s|US,2014-10-27,https://music.douban.com/subject/26359673/,665
险恶之地,BADLANDS,7.7,Halsey,Halsey|Pop|2015|美国|欧美|女声|Indie-Pop|Indie,2015-08-28,https://music.douban.com/subject/26416318/,2944
,Señorita,7.6,Shawn Mendes|Camila Cabello,ShawnMendes|一听即中毒|欧美|CamilaCabelo|流行|Pop|2019|美国,2019-06-21,https://music.douban.com/subject/34433511/,8306
,F,9.0,李志,李志|民谣|Folk|中国|2014|内地独立音乐|内地|Indie,2014-05-22,https://music.douban.com/subject/25886444/,2057
电影频道青年演员计划主题曲,星辰大海,8.6,周冬雨|王俊凯|易烊千玺|刘昊然|陈飞宇|许魏洲|宋祖儿|陈学冬|董子健|谷嘉诚|尚语贤|曾舜晞|张雪迎|张哲瀚|陈都灵|蓝盈莹|李鸿其|王森|张慧雯|金晨|王嘉|李蔓瑄|周也|王紫璇|易恒|匡牧野|朱颜曼滋|孙嘉灵|王锵|张海宇|王西|张婧仪,王俊凯|易烊千玺|合唱|流行|王俊凯金鸡|华语|2019|内地,2019-11-19,https://music.douban.com/subject/34895069/,4360
,Dancing With Your Ghost,8.8,Sasha Sloan,欧美|sashasloan|流行|女声|美国|Pop|歌词很棒|2019,2019-06-28,https://music.douban.com/subject/34688871/,1093
,21,9.1,Adele,Adele|英国|Pop|Soul|2011|英语|虾米音乐|2010s,2011,https://music.douban.com/subject/20393813/,610
Run Away / 电视剧《想见你》插曲,逃,8.4,孙盛希 Shi Shi,OST|孙盛希|台湾|《想见你》|电视原声|华语|2019|原声,2019-12-18,https://music.douban.com/subject/34916377/,1113
,Love Poem,7.9,李知恩 IU|아이유|IU,IU|李知恩|治愈你的声音|韩国|韩语|2019|女声|流行,2019-11-18,https://music.douban.com/subject/34877963/,7294
,Circles,8.5,Post Malone,PostMalone|Pop|2019|欧美|美国|Single|流行|单曲,2019-08-30,https://music.douban.com/subject/34810462/,2139
,‘The ReVe Festival’ Finale,8.4,레드벨벳|Red Velvet,RedVelvet|韩国|K-POP|2019|K-Pop|韩语|SMEntertainment|R&B,2019-12-23,https://music.douban.com/subject/34913548/,7195
,Blinding Lights,8.5,The Weeknd,TheWeeknd|R&B|2019|Pop|欧美|加拿大|Single|Electronic,2019-11-29,https://music.douban.com/subject/34903476/,2409
映画「打ち上げ花火、下から見るか？横から見るか？」主題歌「打上花火」,打上花火 (初回限定盤),8.9,DAOKO,米津玄師|日本|电影歌曲|DAOKO|ACG|OST|J-Pop|2017,2017-08-16,https://music.douban.com/subject/27077658/,3541
,青春的花路,7.9,范丞丞|朱正廷|王子异|小鬼|尤长靖|艾福杰尼 After Journey|费启鸣,范丞丞|大厂男孩|流行|华语|朱正廷|2019|内地|王子异,2019-03-07,https://music.douban.com/subject/30489393/,938
Won't Cry,说好不哭,5.9,周杰伦 Jay Chou|阿信,周杰伦|周式情歌|华语(周杰伦)|阿信|2019|流行|华语|不太行,2019-09-16,https://music.douban.com/subject/34815690/,63341
,請讓我回家,8.9,AMK,香港|indie|AMK|粤语|Indie-Rock|Indie|1995|独立,1995,https://music.douban.com/subject/1899126/,358
Episode 02,第二集,8.6,你男友係碌葛 yourboyfriendsucks!,Shoegaze|Indie-Pop|2020|yourboyfriendsucks|中国|内地|EP|摇滚,2020-04-01,https://music.douban.com/subject/35016769/,307
,Soothe Me,7.4,Science Noodles,Lo-Fi|Indie-Pop|香港|台湾|Dreampop|2018|2010s|ScienceNoodles,2018-10-20,https://music.douban.com/subject/33386863/,45
,她來了,7.6,粉紅A,香港|Indie|粉红A|粉紅A|粤语|HK|独立音乐|独立,2006,https://music.douban.com/subject/1822382/,392
,粉紅A,8.1,粉紅A,香港|粉紅A|indie|粤语|粉红A|HK|2001|港台独立音乐,2001,https://music.douban.com/subject/1822384/,270
,潮濕,8.2,粉紅A,香港|粉紅A|indie|粤语|粉红A|Indie|2003|HK,2003-09,https://music.douban.com/subject/1822383/,379
,大地回春 - Radio Mix,8.4,粉红A,香港|粉红A|indie|HK|2019|Indie-Rock|ulysses|single,2019-03-09,https://music.douban.com/subject/32299680/,56
,若世界在明日結束 - Radio Mix,8.7,粉红A,香港|粉红A|2019|Indie-Pop|Indie|HK|Single|indie,2019-10-10,https://music.douban.com/subject/34877646/,78
,香港香港 - Radio Mix,8.9,粉红A,香港|粉红A|Indie-Pop|Single|indie|Indie|2019|中国摇滚,2019-06-05,https://music.douban.com/subject/34877645/,72
Talk2Me,人话,8.9,方皓玟 Charmaine,方皓玟|粤语|香港|2019|Single|Cantopop|单曲|Pop,2019-12-06,https://music.douban.com/subject/34905030/,152
Faith,最后的信仰,8.4,林二汶 Eman Lam,林二汶|香港|粤语|林夕|2019|港乐|Single|单曲,2019-08-09,https://music.douban.com/subject/34788965/,207
,我总是想像你离开后的日子,8.7,HOCC,何韵诗|HOCC|2020|国语|香港|流行|女声|港台,2020-04-20,https://music.douban.com/subject/35038933/,217
青山十日谈,Ten Days in the Madhouse,9.7,HOCC,香港|Hocc|粤语|概念专辑|Indie|HK|2008|黄伟文,2008-12-12,https://music.douban.com/subject/35138834/,107
,What Really Matters,9.3,HOCC,Hocc|粤语|Pop|2007|女声|HK|香港|Indie,2007-01-22,https://music.douban.com/subject/35165528/,66
Universe,代你白头,9.3,HOCC,HOCC|香港|粤语|Hocc|2019|单曲|Single|HK,2019-01-19,https://music.douban.com/subject/35117629/,76
,餘波,8.3,臥軌的火車,卧轨的火车|内地|Indie-Rock|中国|Rock|Indie|2018|摇滚,2018-11-16,https://music.douban.com/subject/30358432/,68
,寸铁演腰，下不为例,9.5,寸铁|腰乐队 kidney,寸铁|腰|live|2017|腰乐队|中国摇滚|收音鸡|摇滚,2017-09-17,https://music.douban.com/subject/34946526/,193
,Klein Blue,7.4,白日密语,白日密语|Indie-Rock|摇滚|Rock|内地|中国|2019|中国摇滚,2019-04-24,https://music.douban.com/subject/33430220/,280
,七七连环X人调,9.2,周二下午谁没来？,实验|摇滚|周二下午谁没来|概念|中国|Experimental|2015|相见恨晚。,2015-01-01,https://music.douban.com/subject/26829903/,977
小咸偶偶记,小咸偶记,9.2,水仙斗活佛,期待完整版|中国|Rock|2018|独立|2081|水仙斗活佛|Experimental,2018-05-18,https://music.douban.com/subject/33415648/,669
聊勝於無,聊胜于无,8.7,明曲,明曲|独立|2018|民谣|Folk,2018-03-14,https://music.douban.com/subject/30171858/,111
The Ningbonese Philosophy of Consolation,宁波人有三譬好譬,8.5,还潮,还潮|吴语|方言|民谣|中国|2018|Indie-Folk|Folk,2018-11-11,https://music.douban.com/subject/30381404/,845
,The End of Delusion and the Last Ningbonese,8.4,还潮,吴语|中国|2020|独立|Indie|方言|民谣|Indie-Folk,2021-01-01,https://music.douban.com/subject/35004883/,283
The Ningbonese Art of Renunciation,老酒日日醉，皇帝万万岁,8.7,还潮,民谣|吴语|还潮|Indie|Folk|中国|2019|内地,2019-06-22,https://music.douban.com/subject/34442992/,688
,Meteora Live Around The World,8.9,Linkin Park,LinkinPark|2012|Nu-Metal|Live|Alternative|欧美|★★★☆|US,2012-06-05,https://music.douban.com/subject/11613262/,27
,,,,,,,
,Wretches and Kings,8.6,Linkin Park 林肯公园,LinkinPark|rock|美国|林肯公园|2010|Single|Alternative|摇滚,2010-09-04,https://music.douban.com/subject/5268988/,108
,Somewhere I Belong (2 Tr),9.5,Linkin Park,LinkinPark|Rock|Nu-Metal|American|somewhere|belong|Vincent|Park,2003-03-17,https://music.douban.com/subject/1460612/,63
,Burning in the Skies,8.3,Linkin Park,LinkinPark|Rock|美国|欧美|Linkin|Alternative|2011|Single/EP,2011-03-21,https://music.douban.com/subject/5999782/,68
,Somewhere I Belong,9.4,Linkin Park,LinkinPark|美国|Nu-Metal|说唱金属|林肯公园|2003|男声|爱爱爱,2003-12-02,https://music.douban.com/subject/3659546/,114
,Waiting For The End - Single,9.0,Linkin Park,LinkinPark|Rock|Single|2010|欧美|Alternative|美国|US,2010-10-05,https://music.douban.com/subject/5320560/,193
,Across The Line,8.1,林肯公园 Linkin Park,LinkinPark|美国,2010,https://music.douban.com/subject/6756312/,21
,One More Light (Steve Aoki Chester Forever Remix),7.4,林肯公园 Linkin Park,LinkinPark|美国|Electronic|林肯公园|Single|Pop|2017|单曲,2017-10-25,https://music.douban.com/subject/27181519/,67
,The Hunting Party,6.8,Linkin Park,LinkinPark|2014|欧美|Rock|AlternativeRock|美国|欧美(LinkinPark)|rock,2014-06-13,https://music.douban.com/subject/25876285/,38
,One Step Closer,8.4,林肯公园 Linkin Park,LinkinPark|Single,2000,https://music.douban.com/subject/20433812/,23
,Greatest Hits,9.2,林肯公园 Linkin Park,LinkinPark|Rock|2012|Nu-Metal|美国|摇滚|Rock-Pop|Best,2012,https://music.douban.com/subject/10726756/,120
,Underground 16,7.9,林肯公园 Linkin Park,LinkinPark|2016|美国|Underground|Rock,2016-11-21,https://music.douban.com/subject/26995986/,14
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Some Might Say,9.2,Oasis,Oasis|BritPop|英国|brit-pop|1995|英伦|Britpop|UK,1995-04-24,https://music.douban.com/subject/1452802/,1970
童年时的梦,The Dreams We Have As Children,9.2,Noel Gallagher,brit-pop|Oasis|NoelGallagher|Britpop|Brit-Pop|英国|Live|2009,2009-03-15,https://music.douban.com/subject/3606915/,3131
,Familiar to Millions,9.2,Oasis,Oasis|BritPop|brit-pop|live|英国|Rock|英伦|摇滚,2000,https://music.douban.com/subject/1402021/,4439
,Time Flies... 1994-2009,9.6,Oasis,Oasis|Britpop|英国|英伦|Brit-pop|摇滚|Rock|UK,2010-06-14,https://music.douban.com/subject/4744697/,5202
,Cleaning Out My Closet 1,9.5,Eminem,Eminem|Hip-Hop|2002|说唱|美国|欧美|rap|Vincent,2002-10-29,https://music.douban.com/subject/5917166/,44
,Slim Shady Lp,9.1,Eminem,Eminem|Hip-Hop|美国|1999|欧美|hip-hop|Vincent|Hip-Hop/Rap,2006-04-25,https://music.douban.com/subject/5917147/,40
,Without Me,8.7,Eminem,Eminem|Hip-Hop|Comedy-Rap|2002|美国|男歌手|欧美|hip-hop,2002,https://music.douban.com/subject/5319599/,42
,Lose Yourself,9.6,Eminem,Eminem|2002|rap|美国|Vincent|经典|男歌手|我的青春岁月,2002,https://music.douban.com/subject/5319515/,49
,SING FOR THE MOMENT,9.4,EMINEM,Eminem|Hip-Hop|Rap|说唱|硬核|hiphop|欧美|Eminen,,https://music.douban.com/subject/5917169/,83
,Stan,9.6,Eminem,Eminem|美国|rap|hip-hop|2000|欧美|对痞子没有抵抗力|Single,2000,https://music.douban.com/subject/5319541/,101
,The Way I Am,9.6,Eminem,Eminem|Rap|美国|Hip-Hop|rap|RAP|Hardcore-Rap|阿大姆,2000,https://music.douban.com/subject/5319580/,71
,Lose Yourself,9.3,Eminem,Eminem|经典|我的青春岁月|伴我成长～|Jazzy-Hiphop|Hip-Hop|2002|美国,2002,https://music.douban.com/subject/5319521/,74
,Without Me,8.7,Eminem,Eminem|hiphop|Hip-Hop|2002|美国|男歌手|rap|Vincent,2002,https://music.douban.com/subject/5319600/,55
,,,,,,,
,Unplayed Piano,,Damien Rice|Lisa Hannigan,,2005-06-20,https://music.douban.com/subject/1455379/,
,Live From The Union Chapel,9.1,Damien Rice,DamienRice|Folk|爱尔兰|民谣|Indie|Live|Damien_Rice|欧美,2007,https://music.douban.com/subject/1455381/,3144
,Songbird,9.3,Oasis,Oasis|Britpop|Brit-pop|英国|2003|UK|Rock|Single,2003-02-04,https://music.douban.com/subject/2003126/,1058
,,,,,,,
,,,,,,,
,,,,,,,
,Way i Am,9.7,Eminem,Eminem|rap|hip-hop|Vincent|2000,2000-10-10,https://music.douban.com/subject/4314009/,18
,The Real Slim Shady,8.3,Eminem,Vincent|2000,2000-05-16,https://music.douban.com/subject/4314005/,18
,Like Toy Soldiers Pt.2,8.9,Eminem,Hip-Hop|Eminem|欧美|Eminen|2005|美国|hiphop|Vincent,2005-02-07,https://music.douban.com/subject/5917180/,30
,Lose Yourself,9.0,Eminem,Eminem|美国|经典|Rap|2002|男歌手|我的青春岁月|伴我成长～,2002,https://music.douban.com/subject/5319514/,38
,Real Slim Shady,9.4,Eminem,Eminem|美国|rap|hip-hop|Vincent|Rap|Hip-Hop|2000,2000-06-30,https://music.douban.com/subject/3882819/,32
,Stan,9.3,Eminem,Eminem|美国|2001|Single|Rap|Hip-Hop|男歌手|Vincent,2001-02-13,https://music.douban.com/subject/4313998/,43
,Sing for the Moment,9.2,Eminem,Eminem|Hip-Hop|Rap|美国|Hip-Hop/Rap|2003|震撼|经典,2003,https://music.douban.com/subject/5319535/,78
,Stan,9.8,Eminem,Eminem|美国|Hip-Hop|2000|Jazzy-Hiphop|看过STAN的MTV吗?|男歌手|欧美,2000-12-04,https://music.douban.com/subject/4314001/,50
,The Real Slim Shady,9.2,Eminem,Eminem|rap|美国|hip-hop|欧美|RAP|Hip-Hop/Rap|单曲,2000,https://music.douban.com/subject/5319553/,127
,My Name Is,9.0,Eminem,Eminem|美国|rap|1999|Hip-Hop|欧美|hip-hop|Hip-Hop/Rap,1999,https://music.douban.com/subject/5319527/,125
,Stan,9.9,Eminem,Eminem|2000|美国|Rap|经典|Jazzy-Hiphop|Hip-Hop|Single,2000-12-05,https://music.douban.com/subject/4314000/,45
,,,,,,,
,,,,,,,
,,,,,,,
Live Unreleased,Live Unreleased Singles,9.1,Damien Rice,DamienRice|folk|爱尔兰|Live|INDIE|民谣|Damien_Rice|欧美,2006,https://music.douban.com/subject/2296577/,1693
,Stan,9.8,Eminem,Eminem|Rap|Single|2000|美国|Jazzy-Hiphop|男神|Vincent,2000-11-28,https://music.douban.com/subject/4313999/,56
,Like Toy Soldiers Pt.1,8.7,Eminem,Vincent|Eminem,,https://music.douban.com/subject/5917179/,11
,Not Afraid,9.3,eminem,Eminem|Rap|Hip-Hop|2010|男声|阿姆|美国|洋酒,2010-05-03,https://music.douban.com/subject/4825186/,67
,Sing for the Moment,8.6,Eminem,rap|Eminem|震撼|经典|欧美|我的青春岁月|喜欢|伴我成长～,2003,https://music.douban.com/subject/5319536/,19
,Slim Shady LP,9.0,Eminem,美国|Vincent|Hip-Hop|2014年听过或重刷|2001,2001-02-13,https://music.douban.com/subject/3403346/,18
,Without Me,9.2,Eminem,Eminem|美国|Rap|Single|2002|Vincent|Hip-Hop,2002,https://music.douban.com/subject/5319598/,50
,Without Me,8.8,Eminem,Eminem|2001|Vincent,2001-07-20,https://music.douban.com/subject/4314015/,29
,Just Don't Give a Fuck / Brain Damage,8.9,Eminem,Eminem|hip-hop|rap|Vincent|Single|1998|0单曲,1998-10-13,https://music.douban.com/subject/5917156/,29
,Guilty Conscience,8.7,Eminem,Eminem|美国|Single|Rap|Hip-Hop|1999|rap|hip-hop,1999-09-09,https://music.douban.com/subject/5917158/,48
,Curtain Call: The Hits [Vinyl],9.8,Eminem,Eminem|rap|hip-hop|Hip-Hop|2005|美国|精选|给力,2005-12-13,https://music.douban.com/subject/5917154/,54
,Slim Shady EP,8.8,Eminem,Midwest-Rap|Hardcore-Rap|Vincent,,https://music.douban.com/subject/5276010/,17
,The Slim Shady LP,8.8,Eminem,Eminem|Hip-Hop|rap|美国|说唱|1999|欧美|Rap,1999,https://music.douban.com/subject/1417977/,3239
,Without Me,8.8,Eminem,Eminem|2002|Vincent,2002-05-21,https://music.douban.com/subject/4314014/,22
,Business Pt.2,8.8,Eminem,Eminem|hip-hop|2003|rap|Vincent|Single,2003-08-18,https://music.douban.com/subject/4313978/,20
,Infinite,8.7,Eminem,Eminem|Underground-Rap|Hip-Hop|Midwest-Rap|白人|处女专辑|嘻哈|rap,,https://music.douban.com/subject/3597179/,45
,The Real Slim Shady / My Fault (Pizza Mix),9.4,Eminem,Vincent|Hip-Hop|2000,2000,https://music.douban.com/subject/5319557/,19
,"My Name Is, Part 2",8.9,Eminem,Eminem|Vincent|Single|1999,1999-04-27,https://music.douban.com/subject/3402243/,14
,The Marshall Mathers LP,9.6,Eminem,Eminem|Hip-Hop|美国|2000|欧美|男声|hiphop|Vincent,2000-09-11,https://music.douban.com/subject/5917149/,61
,Cleanin' Out My Closet,9.6,Eminem,Eminem|美国|Hip-Hop|Vincent|2002|英语|欧美|Rap,2002,https://music.douban.com/subject/5319485/,29
,Just Don't Give A F***,8.8,Eminem,hip-hop|Eminem|rap|Vincent|1998,1998-10-13,https://music.douban.com/subject/3772217/,15
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Little By Little,9.4,Oasis,Oasis|Britpop|Brit-pop|英国|Rock|UK|Brit-Pop|英伦,2003-01-28,https://music.douban.com/subject/2264692/,628
收起你的泪,Stop Crying Your Heart Out,9.5,Oasis,OASIS|BritPop|Oasis|Brit-Pop|英国|英伦摇滚|英伦|摇滚,2002-06-17,https://music.douban.com/subject/1481570/,4965
,Morning Glory,9.5,Oasis,Oasis|BritPop|英国|Brit-pop|Rock|摇滚|Britpop|UK,1995-09-15,https://music.douban.com/subject/2063904/,1582
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Standing on the Shoulder of Giants,7.9,Oasis,britpop|Oasis|brit-pop|BritPop|英国|英伦|rock|摇滚,2000,https://music.douban.com/subject/1395286/,4578
,,,,,,,
,,,,,,,
,,,,,,,
The God-Like Genius Of Noel Gallagher,Working Class Hero,9.5,Oasis|Noel Gallagher,Oasis|NoelGallagher|Brit-pop|Britpop|英国|UK|2009|Noel,2009,https://music.douban.com/subject/3637631/,1091
,MTV Unplugged,9.3,Oasis,Oasis|Unplugged|Live|BritPop|Brit-Pop|英国|Rock|1996,1996-08-23,https://music.douban.com/subject/3134945/,1402
,Don't Go Away,9.4,Oasis,oasis|BritPop|Brit-Pop|Oasis|英国|英伦|Britpop|rock,2002-06-10,https://music.douban.com/subject/1763203/,1530
,All Around the World,9.0,Oasis,Oasis|britpop|Brit-pop|英国|UK|1998|Britpop|rock,1998-01-21,https://music.douban.com/subject/1899242/,891
,Cigarettes & Alcohol,9.2,Oasis,Oasis|britpop|英国|Brit-pop|UK|Britpop|1996|英伦,1996-08-27,https://music.douban.com/subject/2063909/,1290
,Roll with It,9.2,Oasis,Oasis|BritPop|英国|UK|1995|brit-pop|Britpop|摇滚,1995-01-01,https://music.douban.com/subject/1771221/,1615
,Dogs Pt. 3,9.3,Damien Rice,DamienRice|Folk|爱尔兰|民谣|Indie|2007|Damien|Rice,2007-04-03,https://music.douban.com/subject/2064748/,611
,B - Sides,8.8,Damien Rice,DamienRice|Folk|爱尔兰|indie|民谣|B-Sides|Damien_Rice|欧美,2004,https://music.douban.com/subject/1396321/,6135
,Dogs Pt. 1,9.2,Damien Rice,DamienRice|Folk|爱尔兰|民谣|indie|Dogs|Damien|单曲-B面胜,2007-03-27,https://music.douban.com/subject/2034060/,392
,Rootless Tree,9.3,Damien Rice,DamienRice|Folk|爱尔兰|民谣|indie|Damien_Rice|2007|欧美,2007-02-12,https://music.douban.com/subject/2039540/,3392
,Woman Like a Man,9.1,Damien Rice,DamienRice|Folk|爱尔兰|indie|民谣|Damien.Rice|2003|Damien,2003-03-17,https://music.douban.com/subject/1455382/,2167
,Cannonball,9.4,Damien Rice,DamienRice|爱尔兰|folk|indie|民谣|Folk|Damien.Rice|Damien_Rice,2004-07-12,https://music.douban.com/subject/1464296/,1375
,The Cup Bearers,8.5,Blue Mitchell,JAZZ|ojc|BlueMitchell|爵士|Jazz|OJC|我爱小号手|bop,1994-01-15,https://music.douban.com/subject/2040699/,29
,Empire Burlesque,7.9,Bob Dylan,BobDylan|Folk|1985|美国|Rock|Folk-Rock|Bob_Dylan|民谣,1990-10-17,https://music.douban.com/subject/1971332/,187
,Live at the Fillmore East,9.0,Jimi Hendrix,JimiHendrix|Psychedelic|Live|Blues-Rock|Jimi_Hendrix|美国|rock|blues,"23February,1999",https://music.douban.com/subject/1437576/,95
,Solo Quiero Caminar,7.9,Paco de Lucia,Flamenco|PacoDeLucia|西班牙|吉他|纯音乐|古典|你球土味|xjc_jovi,1990-10-25,https://music.douban.com/subject/3644333/,33
,OU812,7.5,Van Halen,VanHalen|HeavyMetal|美国|Metal|Van_Halen|摇滚|Hard-Rock|1988,1988-05-24,https://music.douban.com/subject/1432834/,161
,Open the Door,8.0,Pentangle,Folk|Psychedelic|Pentangle|Folk-Rock|英国|女声|british_folk|1985,2007-09-25,https://music.douban.com/subject/2979882/,20
,Too Long In Exile,9.0,Van Morrison,VanMorrison|Blues|van_morrison|Rock|英国|摇滚|打口带|pop/rock,1993,https://music.douban.com/subject/3128268/,21
,Strange Cargo,7.2,William Orbit,WilliamOrbit|【Electronic】|【Downtempo】|Electronic|William|Orbit|IncidentalMusic|Electronica,1993-02-23,https://music.douban.com/subject/1855160/,12
O + B-Sides,O/B-Sides,9.5,Damien Rice,DamienRice|OST|爱尔兰|电影原声|indie|folk|Soundtrack|Damien,2005-02-22,https://music.douban.com/subject/1865286/,477
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Cracklin',7.5,Roy Haynes|Booker Ervin,OJC|jazz|Jazz|ojc|爵士|美国|H|CD架,1994-07-30,https://music.douban.com/subject/2040656/,21
,World Gone Wrong,8.4,Bob Dylan,BobDylan|folk|美国|民谣|Folk|Bob_Dylan|Rock|dylan,1993-10-26,https://music.douban.com/subject/1461380/,370
,"The Jimi Hendrix ""Experience"" [Live at The Royal Albert Hall 2/24/69]",9.0,,JimiHendrix|Live|Psychedelic|美国|Rock|Guitar|Blues|非古典,,https://music.douban.com/subject/2146818/,33
,Hispanoamerica,7.8,Paco De Lucia,古典吉他|西班牙|古典|Paco.De.Lucia|西班牙吉他|水草|弗拉门戈|你球土味,2005-06-06,https://music.douban.com/subject/3644342/,23
,Skyscraper,7.9,David Lee Roth,Glam-Metal|DavidLeeRoth|David_Lee_Roth|「HairMetal」|Vai|Steve_Vai|SteveVai|Steve,1990-10-25,https://music.douban.com/subject/3320445/,14
,Reflection,8.9,Pentangle,Folk|英国|Pentangle|Folk-Rock|Psychedelic|民谣|british_folk|British-Folk,1995-05-26,https://music.douban.com/subject/1433549/,43
,,,,,,,
此恨綿綿無絕期,Trouble Every Day,8.1,Tindersticks,OST|Tindersticks|Indie|soundtrack|2001|电影原声|Alternative|Trouble,2001,https://music.douban.com/subject/1419174/,106
